(72,98)
(231,98)
(390,98)
(549,98)
(708,98)
(867,98)
(1026,98)
(151,145)
(310,145)
(469,145)
(628,145)
(787,145)
(946,145)
(1105,145)
(72,193)
(231,193)
(390,193)
(549,193)
(708,193)
(867,193)
(1026,193)
(151,240)
(310,240)
(469,240)
(628,240)
(787,240)
(946,240)
(1105,240)
(72,288)
(231,288)
(390,288)
(549,288)
(708,288)
(867,288)
(1026,288)
(151,336)
(310,336)
(469,336)
(628,336)
(787,336)
(946,336)
(1105,336)
(72,383)
(231,383)
(390,383)
(549,383)
(708,383)
(867,383)
(1026,383)
(151,431)
(310,431)
(469,431)
(628,431)
(787,431)
(946,431)
(1105,431)
