(470,90)
(440,150)
(492,195)
(500,150)
(410,210)
(462,255)
(470,210)
(522,255)
(530,210)
(380,270)
(432,315)
(440,270)
(492,315)
(500,270)
(552,315)
(560,270)
(350,330)
(402,375)
(410,330)
(462,375)
(470,330)
(522,375)
(530,330)
(582,375)
(590,330)
(320,390)
(372,435)
(380,390)
(432,435)
(440,390)
(492,435)
(500,390)
(552,435)
(560,390)
(612,435)
(620,390)
(290,450)
(342,495)
(350,450)
(402,495)
(410,450)
(462,495)
(470,450)
(522,495)
(530,450)
(582,495)
(590,450)
(642,495)
(650,450)
(260,510)
(312,555)
(320,510)
(372,555)
(380,510)
(432,555)
(440,510)
(492,555)
(500,510)
(552,555)
(560,510)
(612,555)
(620,510)
(672,555)
(680,510)
